frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.7,,,,,,,,,,,,,,,,,,,59,539,464,35.72279443670795,30.752090201544508,,,,,,,,,,,,,
1,129.7,,,,,,,,,,,,,,,,,,,54,49,255,3.24752676697345,16.90039439955571,,,,,,,,,,,,,
2,231.1,,,,,,,,,,,,,,,,,,,58,54,256,,,,,,,,,,,,,,,
3,253.1,,,,,,,,,,,,,,,,,,,56,51,256,3.3800788799111423,16.966670456024556,,,,,,,,,,,,,
4,271.8,,,,,,,,,,,,,,,,,,,43,276,495,18.292191585401476,32.806647952078734,,,,,,,,,,,,,
5,286.4,15,863,193,57.19623673261403,12.791278898487263,,,,,11,995,648,65.9446761865017,42.94688459181216,,,,,,,,,,,,,,,,,,,,,,
6,296.9,15,863,193,57.19623673261403,12.791278898487263,,,,,13,996,647,66.01095224297055,42.88060853534331,,,,,,,,,,,,,,,,,,,,,,
7,305.9,15,863,193,57.19623673261403,12.791278898487263,,,,,14,996,648,66.01095224297055,42.94688459181216,,,,,,,,,,,,,,,,,,,,,,
8,325.2,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,1.3698300299511788,-1.3698300299510318,-17.438956460231427,17.43895646022956,,,,,,,,,,,,,,,,,,
9,382.1,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10,450.0,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,-0.21962622234646798,0.0,3.335250149528745,,,,,,,,,,,,,,,,,,
11,482.3,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,-0.2740502301811865,0.0,-3.4888635287229346,,,,,,,,,,,,,,,,,,
12,514.0,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,-0.17399091948160111,0.0,-2.6382247078332237,,,,,,,,,,,,,,,,,,
13,581.7,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,-0.17335900656505107,-0.1733590065650325,-2.632634875703129,-2.6326348757028466,,,,,,,,,,,,,,,,,,
14,613.9,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,-0.3379687213812928,0.0,2.5174578873839315,,,,,,,,,,,,,,,,,,
15,681.7,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,-0.11520582266626841,0.0,3.339299207717931,,,,,,,,,,,,,,,,,,
16,749.7,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,995,646,65.9446761865017,42.81433247887447,-0.1094420287312058,-0.22901704906079068,3.393551278487002,1.9700391317057262,,,,,,,,,,,,,,,,,,
17,882.4,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,0.3379687213812927,0.0,2.5174578873839306,,,,,,,,,,,,,,,,,,
18,918.4,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,-0.19509694042098039,0.0,-4.014340337880263,,,,,,,,,,,,,,,,,,
19,982.2,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.08621025318093349,0.0,-1.7105208964470937,0.0,,,,,,,,,,,,,,,,,,
20,1014.0,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,0.21806787489143087,0.0,-4.3396592018195195,,,,,,,,,,,,,,,,,,
21,1057.9,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,0.24686422045461703,0.0,10.350701067279504,,,,,,,,,,,,,,,,,,
22,1083.0,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,0.3377431215083506,0.0,6.701252410879976,,,,,,,,,,,,,,,,,,
23,1114.5,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,-0.33320478576318047,0.0,-6.6309410102125455,,,,,,,,,,,,,,,,,,
24,1149.7,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,0.37659372633777416,0.0,-7.524350176578911,,,,,,,,,,,,,,,,,,
25,1182.0,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,0.33607455010825726,0.0,-6.7349609240131745,,,,,,,,,,,,,,,,,,
26,1214.3,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,646,66.01095224297055,42.81433247887447,0.0,-0.33137761532115967,0.0,6.667557652337211,,,,,,,,,,,,,,,,,,
27,1249.8,15,863,193,57.19623673261403,12.791278898487263,0.0,0.0,0.0,0.0,14,996,647,66.01095224297055,42.88060853534331,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
