Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
210,180,130,90,100,170,0,0,720,0,0,0,870,1170,350,220,360,410,410,150,170,90,70,70,90,130,290,190,90,176,196,122,1.9,-0.2
30,60,50,0,50,60,0,0,0,0,0,0,0,0,970,1230,110,150,-60,130,100,70,100,20,70,60,40,130,160,148,102,-168,-2.3,0.6
-10,0,0,50,30,-40,10,0,0,0,0,0,0,0,0,0,1250,430,10,120,210,190,140,140,250,200,60,10,0,30,315,182,-0.2,0.5
-10,-30,-30,-10,-20,-30,-10,0,0,0,0,0,0,0,0,0,0,860,840,-30,-110,10,110,200,-40,-10,30,100,110,-30,-362,201,3.3,2.3
30,60,70,10,0,-10,-20,0,0,0,0,0,0,0,0,0,0,0,790,920,170,290,200,110,130,60,10,-10,-20,140,252,-94,-1.5,-3.7
40,40,60,90,120,150,-330,-450,-420,-470,-60,0,0,0,0,0,0,0,0,820,880,250,230,170,170,150,120,110,120,-150,-168,55,-1.2,0.8
-30,10,-20,-30,0,40,20,0,0,30,-400,-550,-260,0,0,0,0,0,0,0,850,280,120,120,140,150,140,40,-70,200,45,-98,-0.3,0.5
20,-10,0,30,0,-10,-50,-40,-100,-100,-80,-20,-360,-520,0,0,0,0,0,0,0,980,-10,70,30,80,40,20,40,10,183,4,0.2,-0.9
30,10,30,0,-50,-80,-40,-10,-10,-80,-120,-150,-90,-200,-640,0,0,0,0,0,0,290,240,-300,60,50,-20,60,120,100,40,87,0.3,2.4
40,20,-10,-40,-40,-70,-60,40,70,90,70,100,-80,-100,-160,-610,0,0,0,0,0,0,1110,20,-230,-330,-170,-190,-110,-140,-150,-34,-0.1,-1.9
-30,-20,-10,20,80,110,90,-40,40,110,140,170,310,330,200,40,-260,0,0,0,0,0,350,250,0,50,-20,0,-90,50,260,180,-0.4,-0.3
30,20,10,40,0,30,30,50,-40,-80,-40,-60,-10,-30,100,40,-270,0,0,0,0,-560,0,660,-250,-240,-250,-190,-20,20,-260,-220,0.2,-0.8
-10,-20,10,0,30,-30,-20,-10,0,30,50,40,40,50,10,90,20,-250,-450,0,0,560,0,660,30,70,230,330,110,-140,-10,12,-0.3,1.6
-10,-10,-30,-30,-50,-30,-60,-40,-40,-50,-110,-50,-60,-70,-70,-100,-130,-350,450,0,0,0,0,470,220,60,60,0,30,-10,-44,84,-1.1,0.4
0,30,20,30,20,10,-50,-20,0,30,10,-40,-100,-90,-60,-190,-100,-140,0,0,-400,0,0,-10,260,-50,0,70,60,50,-34,-165,1.2,0.3
-10,10,-20,-60,-40,-80,20,-70,-60,-10,30,50,110,70,10,30,20,-70,0,0,400,0,0,190,20,40,-190,-310,-220,0,168,91,-1.2,-1.9
70,10,0,50,50,120,40,110,60,20,30,20,20,40,30,140,120,110,-120,0,0,0,0,0,-30,-50,100,60,100,170,190,170,1.1,-0.1
-70,-30,10,-60,-20,-70,10,-10,0,0,-40,-40,-80,10,70,-40,-80,-80,0,0,0,-1060,0,0,60,40,0,210,70,40,-160,-150,1.1,0.8
30,-10,-10,10,-10,20,10,-10,-50,-90,-70,-50,-40,-90,-100,-40,-40,-30,20,0,0,430,0,0,-10,10,40,-50,-30,-150,-80,-79,-0.6,0.1
