Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
10,60,50,-30,-20,680,100,-720,720,0,0,-870,-300,-150,-130,-270,-130,-140,-120,-160,-180,-210,-180,-230,-200,-210,-200,-160,-354,-239,-183,-439.5,-0.8,-1.2
-20,10,10,-20,50,510,100,0,0,0,0,0,0,-970,-260,-130,-80,-140,-380,-140,-260,-230,-180,-210,-160,-50,-300,-260,-268,-219,-257,-559.6,-2.9,0.2
10,0,-40,30,60,450,100,0,0,0,0,0,0,0,0,-1250,-40,-350,-190,-170,-290,-200,-260,-160,-170,-70,-210,-230,-280,-265,-527,-393.9,0,1.4
20,0,10,10,-10,500,90,0,0,0,0,0,0,0,0,0,-860,-770,-80,-80,-310,-250,-260,-50,-220,-210,-260,-240,-250,20,-660,-576.1,0.7,-0.5
0,0,30,0,-20,520,100,0,0,0,0,0,0,0,0,0,0,-790,-950,-160,-190,-150,-170,-290,-190,-170,-190,-230,-390,-312,-97,-773.8,-0.3,-0.1
30,10,-30,-10,-30,510,120,0,0,0,0,0,0,0,0,0,0,0,-820,-910,-70,-240,-260,-270,-260,-220,-210,-240,-230,-200,-443,-681.3,-2.5,1.3
30,30,0,20,0,30,0,30,-50,410,60,0,0,0,0,0,0,0,0,-850,-700,-260,-320,-270,-280,-250,-220,-230,-500,-218,-220,-737.5,-0.5,-0.3
70,0,-10,50,40,10,-20,30,-20,-20,-90,290,260,0,0,0,0,0,0,0,-1270,-420,-320,-250,-270,-260,-320,-340,-230,-373,-363,-639.8,0.3,-0.8
40,10,20,20,30,-30,-10,-30,-20,0,-30,-50,100,520,0,0,0,0,0,0,-290,-1410,-240,-290,-220,-300,-340,-320,-260,-200,-542,-643.6,-0.8,0.5
20,30,-10,-30,0,10,20,-30,-90,-40,-60,10,-10,80,640,0,0,0,0,0,0,-1460,-780,70,-230,-370,-260,-260,-280,-260,-495,-730.3,1.3,-0.6
0,0,-40,-30,-30,20,120,0,-70,-60,-30,-170,-30,20,190,610,0,0,0,0,0,-350,-1870,-180,-330,-210,-280,-180,-310,-270,-379,-696.4,-0.5,-0.5
10,10,-10,30,0,0,-10,80,0,-30,0,-30,-10,-110,30,310,260,0,0,0,0,0,-1970,-430,-280,-280,-260,-270,-170,-60,-459,-876.8,-0.4,1.4
0,0,20,-10,30,0,10,-10,-40,10,-20,20,-30,20,-30,0,530,0,0,0,-560,560,-1310,-1340,-270,-290,-200,-100,-130,-340,-419,-656.6,-1.4,1.5
-10,30,10,20,-30,10,20,0,-10,30,-30,20,-20,-20,50,-70,260,-200,450,0,0,0,-650,-1970,-230,-130,-100,-320,-380,-210,-397,-668.9,0.5,-0.8
-10,10,10,0,-10,-20,40,0,-20,-30,30,10,-30,-20,20,-100,40,600,0,0,0,0,-180,-2220,-390,-130,-160,-290,-420,-244,-269,-754,2,-0.9
