x,Cosine
-10.0,-0.8390715290764524
-9.5,-0.9971721561963784
-9.0,-0.9111302618846768
-8.5,-0.6020119026848236
-8.0,-0.1455000338086135
-7.5,0.3466353178350258
-7.0,0.7539022543433046
-6.5,0.9765876257280236
-6.0,0.960170286650366
-5.5,0.70866977429126
-5.0,0.2836621854632262
-4.5,-0.2107957994307797
-4.0,-0.6536436208636119
-3.5,-0.9364566872907965
-3.0,-0.9899924966004454
-2.5,-0.8011436155469337
-2.0,-0.4161468365471424
-1.5,0.0707372016677029
-1.0,0.5403023058681398
-0.5,0.8775825618903728
0.0,1.0
0.5,0.8775825618903728
1.0,0.5403023058681398
1.5,0.0707372016677029
2.0,-0.4161468365471424
2.5,-0.8011436155469337
3.0,-0.9899924966004454
3.5,-0.9364566872907965
4.0,-0.6536436208636119
4.5,-0.2107957994307797
5.0,0.2836621854632262
5.5,0.70866977429126
6.0,0.960170286650366
6.5,0.9765876257280236
7.0,0.7539022543433046
7.5,0.3466353178350258
8.0,-0.1455000338086135
8.5,-0.6020119026848236
9.0,-0.9111302618846768
9.5,-0.9971721561963784
10.0,-0.8390715290764524
