frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.1,,,,,,,,,,,,,,,,,,,64,531,473,35.192585984957184,31.348574709764122,,,,,,,,,,,,,
1,128.1,,,,,,,,,,,,,,,,,,,30,30,312,1.9882816940653778,20.67812961827993,,,,,,,,,,,,,
2,211.6,,,,,,,,,,,,,,,,,,,56,49,283,,,,,,,,,,,,,,,
3,231.6,,,,,,,,,,,,,,,,,,,33,211,303,13.98424791492649,20.081645110060315,,,,,,,,,,,,,
4,269.4,,,,,,,,,,,,,,,,,,,41,150,13,9.94140847032689,0.861588734094997,,,,,,,,,,,,,
5,279.0,16,778,190,51.56277193276213,12.592450729080726,,,,,14,930,614,61.63673251602671,40.693498671871396,,,,,,,,,,,,,,,,,,,,,,
6,290.7,15,778,190,51.56277193276213,12.592450729080726,,,,,14,930,614,61.63673251602671,40.693498671871396,,,,,,,,,,,,,,,,,,,,,,
7,345.9,15,778,190,51.56277193276213,12.592450729080726,,,,,14,930,613,61.63673251602671,40.62722261540255,,,,,,,,,,,,,,,,,,,,,,
8,414.1,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,-0.25598414186103957,0.0,-3.7895505826948863,,,,,,,,,,,,,,,,,,
9,445.3,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,931,614,61.703008572495555,40.693498671871396,-0.05827211388939618,-0.2589780711253688,-6.2996879880428125,-3.350298462165184,,,,,,,,,,,,,,,,,,
10,513.4,15,778,190,51.56277193276213,12.592450729080726,0.0,-0.41443009376765505,0.0,-4.948419030061553,14,931,614,61.703008572495555,40.693498671871396,-0.26642051715449244,-0.26642051715449244,-7.905653328026483,-7.905653328026483,,,,,,,,,,,,,,,,,,
11,545.4,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.21835475615927996,0.0,4.362732390794804,,,,,,,,,,,,,,,,,,
12,581.4,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,-0.21711223135826624,0.11829490819409914,3.9655202074569185,8.894353999556337,,,,,,,,,,,,,,,,,,
