frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.6,,,,,,,,,,,,,,,,,,,62,527,472,34.9274817590818,31.282298653295275,,,,,,,,,,,,,
1,130.6,,,,,,,,,,,,,,,,,,,51,52,310,3.446354936379988,20.545577505342237,,,,,,,,,,,,,
2,250.2,,,,,,,,,,,,,,,,,,,55,49,283,,,,,,,,,,,,,,,
3,271.2,,,,,,,,,,,,,,,,,,,57,50,283,3.313802823442296,18.756123980683398,,,,,,,,,,,,,
4,288.3,,,,,,,,,,,,,,,,,,,31,727,596,48.182693052850986,39.500529655432175,,,,,,,,,,,,,
5,300.6,15,778,190,51.56277193276213,12.592450729080726,,,,,14,930,614,61.63673251602671,40.693498671871396,,,,,,,,,,,,,,,,,,,,,,
6,314.7,15,778,190,51.56277193276213,12.592450729080726,,,,,14,930,614,61.63673251602671,40.693498671871396,,,,,,,,,,,,,,,,,,,,,,
7,326.7,15,778,189,51.56277193276213,12.52617467261188,,,,,14,930,614,61.63673251602671,40.693498671871396,,,,,,,,,,,,,,,,,,,,,,
8,338.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-1.395946001729252,0.0,20.114495702150595,,,,,,,,,,,,,,,,,,
9,382.4,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.6929243209040894,0.0,8.450296596391334,,,,,,,,,,,,,,,,,,
10,482.0,15,778,190,51.56277193276213,12.592450729080726,0.0,0.25568233725553774,0.0,-2.2032084209869685,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.2556823372555309,0.0,2.2032084209869094,,,,,,,,,,,,,,,,,,
11,514.2,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,614,61.63673251602671,40.693498671871396,0.0,0.09566685689706282,0.0,-3.183589247822395,,,,,,,,,,,,,,,,,,
12,546.4,16,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
13,714.1,16,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,0.46259197474466235,0.0,3.9861436858652497,,,,,,,,,,,,,,,,,,
14,750.5,15,778,190,51.56277193276213,12.592450729080726,0.0,0.0,0.0,0.0,14,930,613,61.63673251602671,40.62722261540255,0.0,-0.08150676611398741,0.0,1.6840240932642034,,,,,,,,,,,,,,,,,,
15,782.2,15,778,190,51.56277193276213,12.592450729080726,0.0,-0.4635867498769343,0.0,-3.9320335019248023,14,930,613,61.63673251602671,40.62722261540255,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
